'sst,'mhab1-misst-sst,'online,'( 1 366),'DRASTIC-LOW=(23 24.3),'VERY-LOW=(24.3 25.3),'LOW=(25.3 25.8),'SOMEWHAT-LOW=(25.8 26.3),'AVERAGE=(26.3 29.3),'SOMEWHAT-HIGH=(29.3 29.8),'HIGH=(29.8 30.3),'VERY-HIGH=(30.3 31),'DRASTIC-HIGH=(31 32)
'mwsst,'mhab1-amsre-mwsst,'online,'( 1 366),'DRASTIC-LOW=(26.1 26.5),'VERY-LOW=(26.5 26.8),'LOW=(26.8 27.5),'SOMEWHAT-LOW=(27.5 27.9),'AVERAGE=(27.9 29.5),'SOMEWHAT-HIGH=(29.5 30),'HIGH=(30 30.6),'VERY-HIGH=(30.6 30.7),'DRASTIC-HIGH=(30.7 31.1)
'windsp,'mhab1-wind1-speed,'offline,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'winddir,'mhab1-wind1-dir,'offline,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'sea1m-variability,'mhab1-exo-shallow-seatemp-1-day-deviation-3-day-average,'online,'( 1 366),'DRASTIC-LOW=(0.02 0.03),'VERY-LOW=(0.03 0.04),'LOW=(0.04 0.05),'SOMEWHAT-LOW=(0.05 0.1),'AVERAGE=(0.1 0.35),'SOMEWHAT-HIGH=(0.35 0.4),'HIGH=(0.4 0.5),'VERY-HIGH=(0.5 0.7),'DRASTIC-HIGH=(0.7 1.5)
'bleaching-seatemp,'mhab1-exo-shallow-seatemp,'online,'( 1 366),'AVERAGE=(15 30.7),'HIGH=(30.7 31),'VERY-HIGH=(31 31.4),'DRASTIC-HIGH=(31.4 32)
'sea1m-monthly,'mhab1-exo-shallow-seatemp-30-day-average,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 29),'SOMEWHAT-HIGH=(29 29.7),'HIGH=(29.7 30),'VERY-HIGH=(30 30.3),'DRASTIC-HIGH=(30.3 31)
'sea1m,'mhab1-exo-shallow-seatemp,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 27),'SOMEWHAT-HIGH=(27 30.5),'HIGH=(30.5 31),'VERY-HIGH=(31 32),'DRASTIC-HIGH=(32 33)
'airt2-variability,'mhab1-wxt2-air-t-1-day-deviation-3-day-average,'online,'( 1 366),'DRASTIC-LOW=(0.04 0.07),'VERY-LOW=(0.07 0.1),'LOW=(0.1 0.2),'SOMEWHAT-LOW=(0.2 0.4),'AVERAGE=(0.4 1.0),'SOMEWHAT-HIGH=(1.0 1.5),'HIGH=(1.5 2.0),'VERY-HIGH=(2.0 2.5),'DRASTIC-HIGH=(2.5 4.0)
'windsp2,'mhab1-wxt2-speed,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'winddir2,'mhab1-wxt2-dir,'online,'( 1 366),'N-NE=(0 40),'NE-ENE=(40 80),'ENE-ESE=(80 120),'ESE-SSE=(120 160),'SSE-SSW=(160 200),'SSW-WSW=(200 240),'WSW-W=(240 280),'W-NW=(280 320),'NW-N=(320 360)
'windgu2,'mhab1-wxt2-gust-03s,'online,'( 1 366),'DRASTIC-LOW=(0 2),'VERY-LOW=(2 4),'LOW=(4 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 21),'SOMEWHAT-HIGH=(21 33),'HIGH=(33 40),'VERY-HIGH=(40 64),'DRASTIC-HIGH=(64 100)
'ekmandir2-7day,'mhab1-wxt2-u-7-day-average-dir-ppdr1-wxt2-v,'online,'( 1 366),'ONSHORE=(0 90),'DOWNSHORE=(90 180),'OFFSHORE=(180 270),'UPSHORE=(270 360)
'windsd2-7day,'mhab1-wxt2-u-7-day-deviation-sum-mhab1-wxt2-v,'online,'( 1 366),'DRASTIC-LOW=(3 5),'VERY-LOW=(5 10),'LOW=(10 13),'SOMEWHAT-LOW=(13 15),'AVERAGE=(15 19),'SOMEWHAT-HIGH=(19 23),'HIGH=(23 26),'VERY-HIGH=(26 30),'DRASTIC-HIGH=(30 50)
'windsp2-3day,'mhab1-wxt2-speed-3-day-average,'online,'( 1 366),'DRASTIC-LOW=(2 3),'VERY-LOW=(3 5),'LOW=(5 7),'SOMEWHAT-LOW=(7 10),'AVERAGE=(10 17),'SOMEWHAT-HIGH=(17 22),'HIGH=(22 25),'VERY-HIGH=(25 30),'DRASTIC-HIGH=(30 50)
'sea1m-1d,'mhab1-exo-shallow-seatemp,'online,'( 1 366),'DRASTIC-LOW=(15 17),'VERY-LOW=(17 19),'LOW=(19 21),'SOMEWHAT-LOW=(21 24),'AVERAGE=(24 29),'SOMEWHAT-HIGH=(29 31.4),'HIGH=(31.4 32),'VERY-HIGH=(32 33),'DRASTIC-HIGH=(33 34)
